Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,11-Dec-23,"2,455.75","2,456.00","2,467.60","2,452.40","2,460.90","2,459.35","2,459.80","35,33,069","8,69,06,54,768.25","1,48,258","26,51,027",75.03
RELIANCE,EQ,12-Dec-23,"2,459.35","2,460.00","2,464.95","2,420.15","2,424.00","2,424.05","2,442.73","45,98,562","11,23,30,58,046.60","1,64,611","32,26,060",70.15
RELIANCE,EQ,13-Dec-23,"2,424.05","2,422.00","2,438.35","2,406.30","2,432.05","2,433.95","2,422.37","50,15,591","12,14,96,35,536.75","2,03,903","31,56,741",62.94
RELIANCE,EQ,14-Dec-23,"2,433.95","2,454.00","2,474.95","2,442.65","2,463.55","2,464.15","2,464.76","84,86,177","20,91,64,13,095.30","3,08,013","58,07,295",68.43
RELIANCE,EQ,15-Dec-23,"2,464.15","2,478.00","2,500.00","2,470.05","2,492.00","2,495.60","2,487.92","79,66,076","19,81,89,94,725.95","2,19,982","50,16,104",62.97
RELIANCE,EQ,18-Dec-23,"2,495.60","2,495.60","2,534.90","2,490.95","2,520.00","2,521.00","2,521.89","70,82,594","17,86,15,36,572.75","2,53,336","48,55,424",68.55
RELIANCE,EQ,19-Dec-23,"2,521.00","2,555.00","2,573.90","2,525.20","2,556.50","2,558.10","2,553.63","84,10,302","21,47,67,99,671.65","3,31,728","55,18,449",65.62
RELIANCE,EQ,20-Dec-23,"2,558.10","2,571.05","2,598.85","2,520.00","2,529.40","2,527.15","2,563.63","88,68,361","22,73,51,94,766.35","3,72,595","53,42,862",60.25
RELIANCE,EQ,21-Dec-23,"2,527.15","2,527.00","2,573.50","2,518.25","2,561.00","2,562.55","2,551.74","68,82,727","17,56,29,46,483.40","2,35,158","34,79,632",50.56
RELIANCE,EQ,22-Dec-23,"2,562.55","2,559.60","2,580.90","2,547.65","2,561.00","2,565.05","2,559.79","82,70,892","21,17,17,13,990.35","2,74,088","47,33,005",57.22
